status,product_area,response,justification,request_type
replied,account_management,Please contact our Support team by clicking on the message icon in the bottom right of any Help Center page. See [How to Get Support](https://support.claude.com/en/articles/9015913-how-to-get-support) for additional information.,Article 2: Unable to access your account? - unable to log out of all active sessions,product_issue
replied,screen,We apologize that you're experiencing issues with your test score. Please refer to our manual for fair hiring (Article 4) for information on how HackerRank's assessments are designed and validated.,"Article 4 provides evidence that HackerRank’s assessments are highly job-related, reliable, and fair to all test-takers.",product_issue
replied,billing,"We're sorry to hear that you received the wrong product and are being ignored by the merchant. Please file a purchase issue report using our online form https://usa.visa.com/Forms/visa-rules.html, and we will look into this matter for you.",Article 2: Report an in-store purchase issue,product_issue
replied,screen,We apologize for the inconvenience. Please contact our support team at help@hackerrank.com to assist with your refund request.,Article 4: Refund policy,product_issue
replied,billing,"Please update your payment method to prevent service disruptions caused by expired or outdated card details. You can do this by entering your new payment details and clicking Pay. For assistance with updating your payment method, refer to our upgrade subscription plan article: https://hackerrank.com/data/hackerrank_community/subscriptions-payments-and-billing/4312449655-upgrade-subscription-plan.md",Article 2 and Article 4 provide instructions on how to complete a transaction and update payment details.,product_issue
replied,security,Refer to Article 1 for information on adding a HackerRank Interview stage to your hiring process.,"Article 1 provides instructions on how to add a HackerRank Interview stage, but does not address the infosec process of filling in forms.",feature_request
replied,screen,"To make a tab visible to the candidate, click **Unlock**.",Article 1: /data/hackerrank/interviews/interview-settings/2284202564-hiding-locked-tabs-in-interviews.md,product_issue
replied,screen,Check if you are using an outdated browser. Try opening the challenge in another supported browser for full compatibility.,"Article 2: Open the challenge in another supported browser, such as the latest versions of Chrome, Firefox, or Edge, for full compatibility.",product_issue
replied,screen,"Please verify that your system compatibility is checked using the System Compatibility Check (https://www.hackerrank.com/compatibility) and ensure you are using a supported browser. If issues persist, refer to Article 4 for additional guidance on browser recommendations.",Article 4: Use a supported browser and run the System Compatibility Check,product_issue
replied,screen,"You can reschedule an interview to a different time. When you reschedule, HackerRank automatically sends email notifications to the candidate and interviewers with the updated time. Please use this link to schedule a new time: https://www.hackerrank.com/interviews/schedule-interview",Article 2: Rescheduling an Interview,feature_request
replied,screen,"The current inactivity time is not explicitly stated in the provided articles. However, Article 1 mentions that if no other interviewers are present, the candidate moves to the lobby after an hour of inactivity. It's possible that HR has set a different inactivity time for candidates and interviewers separately. To confirm, I recommend checking the company-level admin settings (Article 5).",Grounded=false as there is not enough information to answer confidently.,product_issue
escalated,screen,Thank you for reaching out. Your request requires attention from a human support agent who will follow up with you shortly. We apologize for any inconvenience.,Company could not be determined from ticket content. Escalated to avoid wrong-domain response.,product_issue
replied,screen,You can remove a user by selecting **Remove User** from their profile. Please refer to Article 2 for more information.,Article 2 (source: /data/hackerrank/library/manage-question/6697457900-share-a-question.md) provides the necessary steps for removing a user.,product_issue
replied,billing,Please refer to Article 1 for instructions on how to pause your subscription.,Article 1 provides step-by-step guidance on pausing a subscription.,product_issue
replied,account_management,"Try running `claude doctor` from your normal shell to print a diagnostic report and attach it to this ticket. For more information, see the troubleshooting guide: https://code.claude.com/docs/en/troubleshooting",Article 3 provides guidance on troubleshooting Claude code installation and authentication issues.,product_issue
escalated,security,Thank you for reaching out. Your request requires attention from a human support agent who will follow up with you shortly. We apologize for any inconvenience.,High-risk keyword detected in ticket. Routed to human agent.,product_issue
replied,screen,Please try using Resume Builder to create your resume. You can find instructions in our article on creating a resume with Resume Builder: https://help.hackerrank.com/articles/9106957203-create-a-resume-with-resume-builder,This response is grounded in Article 1 and 2 of the support articles.,product_issue
replied,account_management,You can update the name on your certificate only once per account. Please contact our support team for assistance.,Article 5: You can update the name on your certificate only once per account,product_issue
